question,detail_id
พัทธ์ธีรา ศรุติพงศ์โภคิน เกิดวันที่เท่าไร,01KZTrxgvC5mOovXFMPJ
พัทธ์ธีรา ศรุติพงศ์โภคิน มีฃื่อเล่นว่าอะไร,01KZTrxgvC5mOovXFMPJ
พัทธ์ธีรา ศรุติพงศ์โภคิน ทำอาชีพอะไร,01KZTrxgvC5mOovXFMPJ
พัทธ์ธีรา ศรุติพงศ์โภคิน จบการศึกษาจากประเทศอะไร,01KZTrxgvC5mOovXFMPJ
พัทธ์ธีรา ศรุติพงศ์โภคิน ปัจจุบันทำอาชีพอะไร,01KZTrxgvC5mOovXFMPJ
คลีโอพัตราเป็นใคร,01asKzWKkocCMjZAITfL
บิดาของคลีโอพัตราเป็นใคร,01asKzWKkocCMjZAITfL
คลีโอพัตราในภาษากรีกแปลว่าอะไร,01asKzWKkocCMjZAITfL
คลีโอพัตราสามารถพูดภาษาใดได้บ้าง,01asKzWKkocCMjZAITfL
ประเทศออสเตรเลียใหญ่เป็นอันดับที่เท่าไหร่ของโลก,03Ezpc2OXtjeS6EVN4fi
ประเทศออสเตรเลียอยู่ติดกับประเทศอะไรบ้าง,03Ezpc2OXtjeS6EVN4fi
ประเทศออสเตรเลียปกครองด้วยระบอบอะไร,03Ezpc2OXtjeS6EVN4fi
ประเทศออสเตรเลียมีประชากรเท่าไหร่,03Ezpc2OXtjeS6EVN4fi
วันสันติภาพไทย คือวันที่เท่าไร,03xHGzW2DvkChsaT5dLb
วันสันติภาพไทย เป็นวันที่ระลึกถึงอะไร,03xHGzW2DvkChsaT5dLb
วันสันติภาพไทย ถูกประกาศจากใคร,03xHGzW2DvkChsaT5dLb
ทำไม่ต้องประกาศวันสันติภาพไทย,03xHGzW2DvkChsaT5dLb
วันสันติภาพไทย อยู่ในช่วงสงครามอะไร,03xHGzW2DvkChsaT5dLb
ประเทศนิวซีแลนด์ประกอบด้วยเกาะใหญ่จำนวนกี่เกาะ,04BmI3HcGl4MpdzMikX1
นิวซีแลนด์เคยเป็นอาณานิคมของประเทศใด,04BmI3HcGl4MpdzMikX1
กีฬาประจำชาติของนิวซีแลนด์คือกีฬาชนิดใด,04BmI3HcGl4MpdzMikX1
